product_id,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm
kgF2KLJ8Ao3M,toys,107,7,7,10
cwUYd9SRfb0n,toys,275,8,13,8
CkE3O0rZkMh0,electronics,595,8,6,6
EQvogwRR140j,toys,117,9,11,12
dHIgMZrEZPnt,pet_shop,665,9,9,8
Hg64e34X9MNY,toys,895,10,15,14
bsuq7f6ZkZ0k,toys,125,10,9,11
h6QNOjA3PpEv,toys,1535,10,15,14
QzAC1fDWMbmk,toys,100,11,11,11
XR6M8392KQ22,toys,4050,11,18,10
6Ijgxl827Y17,toys,1400,11,11,52
G7guTB5nVWZa,toys,1000,11,15,20
Yto1v5Abm1cA,toys,2,11,11,52
z4Jm4CstGGvo,toys,150,11,16,6
pyEDqBPcMzmX,toys,2,11,11,52
5V5Klha4bMNU,toys,75,11,23,11
XlXCu8TQ6yGc,furniture_decor,2000,11,11,52
EYwkT0gvPCW5,toys,1350,11,11,52
ZaPnv5mg729F,perfumery,75,11,11,8
RYPTohbYWOlm,toys,2,11,11,52
4j4d64W0qNVJ,toys,2,11,11,52
fdrDO4Uw1h7h,toys,125,12,10,10
LaDJSHV469G8,health_beauty,138,12,9,18
vXiLPej2V7ky,toys,187,12,7,8
oHUhZyRLhdXo,toys,83,12,8,8
qUUS0jxs6Gfn,toys,179,12,9,13
azOuq4pBxPSO,toys,82,12,15,15
NsrmroC2wgJP,toys,950,12,32,46
WWMWcYVrOcm4,stationery,233,12,4,9
w9YOZw9QYrDy,sports_leisure,231,12,12,10
DycMyHy4IVyK,toys,2083,12,2,7
6J8Lxr7dmuUG,toys,120,12,9,10
4ADK97tiZ5z3,toys,163,12,8,11
TmTwpdcceWsh,toys,268,12,9,19
RQTf2lb1Sr1U,toys,125,13,7,9
KTx5oEBhlX2P,toys,83,13,8,12
wdegXo9Rj00j,toys,40425,13,65,28
M2jLBJPlMKAU,toys,240,13,12,14
WKeXxZpqVyev,toys,275,13,13,13
slshLfJExyu1,toys,50,13,9,11
QJzLEuupFFmV,telephony,300,13,8,10
PEXR8pKcuyaU,toys,95,13,9,10
gdv6nQqQGpiZ,watches_gifts,650,13,11,12
nl923UddeRkp,toys,83,13,9,11
DZ4v39ZYkfie,toys,500,13,10,10
NWhhNfx0E7kc,telephony,100,13,20,13
nswdS9NIJvCC,toys,875,13,32,46
6xJIVGp8PHBt,toys,310,13,17,20
y647LxC4rRKW,toys,975,13,20,28
WYBlLZqelq85,health_beauty,867,13,14,12
yNiC4LvaTd1R,toys,153,14,14,12
gUsB6MIYvqzB,toys,213,14,9,13
yifYVWda6kIz,toys,147,14,10,12
C7GcCIIcO9Gn,toys,525,14,15,19
QkmWaHPC1Fms,toys,3650,14,16,12
ljp7KDQ2xLwe,toys,338,14,9,13
oMFn9pruvNtX,toys,1050,14,3,9
D7D88IRAOcxw,computers_accessories,253,14,12,12
qLZKX25JRdB3,telephony,203,14,16,14
40QAKNXG4Bc6,toys,767,14,8,12
fBRPDvt9smc9,toys,315,14,13,13
fQ0w04yUgPko,toys,160,14,15,14
e33RVP7pBABH,toys,78,14,8,10
mJp5dBjhbjic,toys,117,14,13,10
VQHdCiIkHquy,toys,408,14,16,15
XA2tB2uzE2ht,toys,620,14,8,12
YGcEbk2hMQPZ,perfumery,127,14,16,12
oqxCOOruguYT,toys,267,14,19,16
NVSjAJPMleBT,garden_tools,340,14,16,13
NP3OSMs07lD7,books_general_interest,625,14,13,14
AN2TfeebMgzG,toys,230,14,10,11
0Ci0TtmttZaC,toys,442,14,15,16
3xDk8lTfqJrj,toys,552,14,12,12
0YXohicnqicw,toys,650,14,11,12
NiHklXNkIcQs,toys,75,14,9,7
FPTO4JUbez3y,toys,375,14,8,13
3avGEjxwi57x,toys,105,14,10,15
pSNCk5xlJk7S,toys,540,14,13,16
3BTJekstwy9w,toys,278,14,9,18
NbQQuWXjZuwV,furniture_decor,303,14,14,28
s8nZjM324wiH,toys,475,14,16,15
nJ1TOtUVdhiM,toys,241,14,15,17
YeGiuIl5wEzT,toys,369,15,13,13
SkUGEi2ENVlV,toys,214,15,7,13
7SbxZe82YD4g,toys,427,15,17,14
Tai7pG4RmkaF,toys,525,15,29,33
G6QsRYZ1YsAN,toys,117,15,4,12
ZYR8Xg6War3A,toys,250,15,8,20
DrUO9n3zMNh1,toys,128,15,8,13
WbujjfVK7lye,books_general_interest,1200,15,15,19
1mxr66MSmv44,toys,2100,15,18,25
BRYfsLx8VhnW,computers_accessories,300,15,5,13
Mhf16vn22TPg,toys,213,15,7,11
82GUIdOypv57,toys,233,15,11,14
s9oxlyiEsmIX,toys,320,15,11,15
PTvCS1zUQMj7,toys,125,15,9,16
IyjGR5CT0vcY,toys,1320,15,14,17
T9PeUENWbJIH,toys,420,15,9,13
CPAwvQzUlyNs,toys,175,15,15,11
w1ACwNFrQMSH,toys,203,15,15,14
WHoJuOeAwojr,toys,594,15,17,24
cwJUoxg0yCdB,toys,90,15,11,12
DPIDBQnKIlLq,toys,300,15,8,9
qfCXTBMbKehy,toys,2150,15,38,15
